match_id,home_team_id,away_team_id,home_goals,away_goals,ot,away_shots,home_shots,away_passes,home_passes,away_fow,home_fow,away_fol,home_fol,away_hits,home_hits,away_takeaways,home_takeaways,away_turnovers,home_turnovers,away_exits,home_exits,away_entries,home_entries,away_touches,home_touches,away_possession_s,home_possession_s,star1_key,star2_key,star3_key,gwg_key,score_summary
M1-G1,WEST,BCL,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-G2,WEST,BCL,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-G3,WEST,BCL,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-G1,VGN,MM,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-G2,VGN,MM,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-G3,VGN,MM,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-G1,SLY,MOFO,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-G2,SLY,MOFO,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3-G3,SLY,MOFO,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-G1,SLY,VGN,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-G2,SLY,VGN,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4-G3,SLY,VGN,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5-G1,MOFO,BCL,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5-G2,MOFO,BCL,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5-G3,MOFO,BCL,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6-G1,MM,WEST,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6-G2,MM,WEST,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6-G3,MM,WEST,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7-G1,MM,SLY,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7-G2,MM,SLY,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7-G3,MM,SLY,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-G1,WEST,MOFO,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-G2,WEST,MOFO,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-G3,WEST,MOFO,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-G1,BCL,VGN,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-G2,BCL,VGN,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-G3,BCL,VGN,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10-G1,SLY,WEST,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10-G2,SLY,WEST,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10-G3,SLY,WEST,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11-G1,VGN,MOFO,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11-G2,VGN,MOFO,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11-G3,VGN,MOFO,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12-G1,BCL,MM,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12-G2,BCL,MM,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12-G3,BCL,MM,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13-G1,WEST,VGN,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13-G2,WEST,VGN,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13-G3,WEST,VGN,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14-G1,SLY,BCL,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14-G2,SLY,BCL,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14-G3,SLY,BCL,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15-G1,MOFO,MM,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15-G2,MOFO,MM,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15-G3,MOFO,MM,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16-G1,BCL,WEST,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16-G2,BCL,WEST,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16-G3,BCL,WEST,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17-G1,MM,VGN,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17-G2,MM,VGN,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17-G3,MM,VGN,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18-G1,MOFO,SLY,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18-G2,MOFO,SLY,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18-G3,MOFO,SLY,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19-G1,VGN,SLY,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19-G2,VGN,SLY,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19-G3,VGN,SLY,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20-G1,BCL,MOFO,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20-G2,BCL,MOFO,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20-G3,BCL,MOFO,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21-G1,WEST,MM,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21-G2,WEST,MM,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21-G3,WEST,MM,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22-G1,SLY,MM,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22-G2,SLY,MM,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22-G3,SLY,MM,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23-G1,MOFO,WEST,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23-G2,MOFO,WEST,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23-G3,MOFO,WEST,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24-G1,VGN,BCL,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24-G2,VGN,BCL,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24-G3,VGN,BCL,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25-G1,WEST,SLY,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25-G2,WEST,SLY,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25-G3,WEST,SLY,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M26-G1,MOFO,VGN,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M26-G2,MOFO,VGN,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M26-G3,MOFO,VGN,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M27-G1,MM,BCL,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M27-G2,MM,BCL,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M27-G3,MM,BCL,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M28-G1,VGN,WEST,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M28-G2,VGN,WEST,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M28-G3,VGN,WEST,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M29-G1,BCL,SLY,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M29-G2,BCL,SLY,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M29-G3,BCL,SLY,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30-G1,MM,MOFO,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30-G2,MM,MOFO,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30-G3,MM,MOFO,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31-G1,MOFO,MM,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31-G2,MM,MOFO,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32-G1,BCL,VGN,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32-G2,VGN,BCL,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32-G3,BCL,VGN,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33-G1,WEST,BCL,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33-G2,BCL,WEST,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33-G3,WEST,BCL,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33-G4,BCL,WEST,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33-G5,WEST,BCL,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M34-G1,SLY,MOFO,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M34-G2,MOFO,SLY,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M34-G3,SLY,MOFO,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
