name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,team_id,player_key
Shoe,,S,Captain,29,16,4,12,0.551724138,26,,,,,,,,,,,,,,,,,,,,WEST,name:Shoe
SoCanadian,,S,Assistant,17,24,14,10,1.411764706,58,,,,,,,,,,,,,,,,,,,,WEST,name:SoCanadian
Marcus,,S,,28,49,18,31,1.75,85,,,,,,,,,,,,,,,,,,,,WEST,name:Marcus
weatherboy,,S,,7,6,3,3,0.857142857,15,,,,,,,,,,,,,,,,,,,,WEST,name:weatherboy
Midnight,,S,,25,46,20,26,1.84,90,,,,,,,,,,,,,,,,,,,,WEST,name:Midnight
DeadlyDangles,,S,,4,2,1,1,0.5,8,,,,,,,,,,,,,,,,,,,,WEST,name:DeadlyDangles
Nemestokes,,S,,10,11,2,9,1.1,14,,,,,,,,,,,,,,,,,,,,WEST,name:Nemestokes
Julzes,,S,,2,1,0,1,0.5,1,,,,,,,,,,,,,,,,,,,,WEST,name:Julzes
Miku,,S/G,Assistant,9,13,0,13,1.444444444,4,,,,,,,,,,,13,94,17,,,1.307692308,0.819148936,8,4,WEST,name:Miku
milk,,G,Assistant,0,3,0,3,,0,,,,,,,,,,,22,202,36,,,1.636363636,0.821782178,12,3,WEST,name:milk
jurkeyy,,S,Captain,29,33,15,18,1.137931034,71,,,,,,,,,,,1,11,2,,,2,0.818181818,0,0,VGN,name:jurkeyy
dabz,,S,,15,13,5,8,0.866666667,33,,,,,,,,,,,,,,,,,,,,VGN,name:dabz
SiddedOn,,S,,21,21,5,16,1,45,,,,,,,,,,,,,,,,,,,,VGN,name:SiddedOn
KANE,,S,,5,2,0,2,0.4,2,,,,,,,,,,,,,,,,,,,,VGN,name:KANE
GrantOsaurus,,S,,4,4,0,4,1,0,,,,,,,,,,,,,,,,,,,,VGN,name:GrantOsaurus
Mobys,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,VGN,name:Mobys
bleh,,S,,6,4,0,4,0.666666667,11,,,,,,,,,,,,,,,,,,,,VGN,name:bleh
OVO,,S,,21,20,7,13,0.952380952,51,,,,,,,,,,,,,,,,,,,,VGN,name:OVO
Zen,,G,Assistant,0,1,0,1,,0,,,,,,,,,,,21,229,38,,,1.80952381,0.834061135,7,5,VGN,name:Zen
Bloomer,,S/G,,9,9,4,5,1,8,,,,,,,,,,,2,5,2,,,1,0.6,1,1,VGN,name:Bloomer
silly,,S,Captain,21,17,2,15,0.80952381,20,,,,,,,,,,,,,,,,,,,,SLY,name:silly
matvei,,S,Assistant,29,48,23,25,1.655172414,110,,,,,,,,,,,,,,,,,,,,SLY,name:matvei
