match_id,week,home_team_id,away_team_id,stage,status,imported_on
M1-G1,1,WEST,BCL,reg,played,2025-09-16
M1-G2,1,WEST,BCL,reg,played,2025-09-16
M1-G3,1,WEST,BCL,reg,played,2025-09-16
M2-G1,1,VGN,MM,reg,played,2025-09-16
M2-G2,1,VGN,MM,reg,played,2025-09-16
M2-G3,1,VGN,MM,reg,played,2025-09-16
M3-G1,1,SLY,MOFO,reg,played,2025-09-16
M3-G2,1,SLY,MOFO,reg,played,2025-09-16
M3-G3,1,SLY,MOFO,reg,played,2025-09-16
M4-G1,2,SLY,VGN,reg,played,2025-09-23
M4-G2,2,SLY,VGN,reg,played,2025-09-23
M4-G3,2,SLY,VGN,reg,played,2025-09-23
M5-G1,2,MOFO,BCL,reg,played,2025-09-23
M5-G2,2,MOFO,BCL,reg,played,2025-09-23
M5-G3,2,MOFO,BCL,reg,played,2025-09-23
M6-G1,2,MM,WEST,reg,played,2025-09-23
M6-G2,2,MM,WEST,reg,played,2025-09-23
M6-G3,2,MM,WEST,reg,played,2025-09-23
M7-G1,3,MM,SLY,reg,played,2025-09-30
M7-G2,3,MM,SLY,reg,played,2025-09-30
M7-G3,3,MM,SLY,reg,played,2025-09-30
M8-G1,3,WEST,MOFO,reg,played,2025-09-30
M8-G2,3,WEST,MOFO,reg,played,2025-09-30
M8-G3,3,WEST,MOFO,reg,played,2025-09-30
M9-G1,3,BCL,VGN,reg,played,2025-09-30
M9-G2,3,BCL,VGN,reg,played,2025-09-30
M9-G3,3,BCL,VGN,reg,played,2025-09-30
M10-G1,4,SLY,WEST,reg,played,2025-10-07
M10-G2,4,SLY,WEST,reg,played,2025-10-07
M10-G3,4,SLY,WEST,reg,played,2025-10-07
M11-G1,4,VGN,MOFO,reg,played,2025-10-07
M11-G2,4,VGN,MOFO,reg,played,2025-10-07
M11-G3,4,VGN,MOFO,reg,played,2025-10-07
M12-G1,4,BCL,MM,reg,played,2025-10-07
M12-G2,4,BCL,MM,reg,played,2025-10-07
M12-G3,4,BCL,MM,reg,played,2025-10-07
M13-G1,5,WEST,VGN,reg,played,2025-10-14
M13-G2,5,WEST,VGN,reg,played,2025-10-14
M13-G3,5,WEST,VGN,reg,played,2025-10-14
M14-G1,5,SLY,BCL,reg,played,2025-10-14
M14-G2,5,SLY,BCL,reg,played,2025-10-14
M14-G3,5,SLY,BCL,reg,played,2025-10-14
M15-G1,5,MOFO,MM,reg,played,2025-10-14
M15-G2,5,MOFO,MM,reg,played,2025-10-14
M15-G3,5,MOFO,MM,reg,played,2025-10-14
M16-G1,6,BCL,WEST,reg,played,2025-10-21
M16-G2,6,BCL,WEST,reg,played,2025-10-21
M16-G3,6,BCL,WEST,reg,played,2025-10-21
M17-G1,6,MM,VGN,reg,played,2025-10-21
M17-G2,6,MM,VGN,reg,played,2025-10-21
M17-G3,6,MM,VGN,reg,played,2025-10-21
M18-G1,6,MOFO,SLY,reg,played,2025-10-21
M18-G2,6,MOFO,SLY,reg,played,2025-10-21
M18-G3,6,MOFO,SLY,reg,played,2025-10-21
M19-G1,7,VGN,SLY,reg,played,2025-10-28
M19-G2,7,VGN,SLY,reg,played,2025-10-28
M19-G3,7,VGN,SLY,reg,played,2025-10-28
M20-G1,7,BCL,MOFO,reg,played,2025-10-28
M20-G2,7,BCL,MOFO,reg,played,2025-10-28
M20-G3,7,BCL,MOFO,reg,played,2025-10-28
M21-G1,7,WEST,MM,reg,played,2025-10-28
M21-G2,7,WEST,MM,reg,played,2025-10-28
M21-G3,7,WEST,MM,reg,played,2025-10-28
M22-G1,8,SLY,MM,reg,played,2025-11-04
M22-G2,8,SLY,MM,reg,played,2025-11-04
M22-G3,8,SLY,MM,reg,played,2025-11-04
M23-G1,8,MOFO,WEST,reg,played,2025-11-04
M23-G2,8,MOFO,WEST,reg,played,2025-11-04
M23-G3,8,MOFO,WEST,reg,played,2025-11-04
M24-G1,8,VGN,BCL,reg,played,2025-11-04
M24-G2,8,VGN,BCL,reg,played,2025-11-04
M24-G3,8,VGN,BCL,reg,played,2025-11-04
M25-G1,9,WEST,SLY,reg,played,2025-11-11
M25-G2,9,WEST,SLY,reg,played,2025-11-11
M25-G3,9,WEST,SLY,reg,played,2025-11-11
M26-G1,9,MOFO,VGN,reg,played,2025-11-11
M26-G2,9,MOFO,VGN,reg,played,2025-11-11
M26-G3,9,MOFO,VGN,reg,played,2025-11-11
M27-G1,9,MM,BCL,reg,played,2025-11-11
M27-G2,9,MM,BCL,reg,played,2025-11-11
M27-G3,9,MM,BCL,reg,played,2025-11-11
M28-G1,10,VGN,WEST,reg,played,2025-11-14
M28-G2,10,VGN,WEST,reg,played,2025-11-14
M28-G3,10,VGN,WEST,reg,played,2025-11-14
M29-G1,10,BCL,SLY,reg,played,2025-11-14
M29-G2,10,BCL,SLY,reg,played,2025-11-14
M29-G3,10,BCL,SLY,reg,played,2025-11-14
M30-G1,10,MM,MOFO,reg,played,2025-11-14
M30-G2,10,MM,MOFO,reg,played,2025-11-14
M30-G3,10,MM,MOFO,reg,played,2025-11-14
M31-G1,11,MOFO,MM,qf,played,2025-11-17
M31-G2,11,MOFO,MM,qf,played,2025-11-17
M32-G1,11,BCL,VGN,qf,played,2025-11-17
M32-G2,11,BCL,VGN,qf,played,2025-11-17
M32-G3,11,BCL,VGN,qf,played,2025-11-17
M33-G1,12,WEST,BCL,sf,played,2025-11-19
M33-G2,12,WEST,BCL,sf,played,2025-11-19
M33-G3,12,WEST,BCL,sf,played,2025-11-19
M33-G4,12,WEST,BCL,sf,played,2025-11-19
M33-G5,12,WEST,BCL,sf,played,2025-11-19
M34-G1,12,SLY,MOFO,sf,played,2025-11-19
M34-G2,12,SLY,MOFO,sf,played,2025-11-19
M34-G3,12,SLY,MOFO,sf,played,2025-11-19
M34-G4,12,SLY,MOFO,sf,played,2025-11-19
M34-G5,12,SLY,MOFO,sf,played,2025-11-19
M35-G1,13,MOFO,BCL,f,played,2025-12-07
