match_id,team_id,player_name,steam_id,position,g,a,xG,shots,passes,exits,entries,hits,turnovers,takeaways,touches,poss_s,fow,fol,sa,ga,xGA,body_sv,stick_sv,w,so,toi_s,sp,blocks
M1-G1,RR,Radioheadlover,76561199014254328,C,1,5,1.44,7,15,3,3,0,2,3,99,71,8,2,,,,,,,,900,306,0
M1-G1,CG67,carl,76561198095080755,LD,0,0,0.11,1,14,8,8,1,1,2,105,82.7,0,0,,,,,,,,900,73.5,1
M1-G1,RR,SiddedOn,76561199749591762,RD,1,3,0.41,2,13,8,6,0,0,1,74,47.1,0,0,,,,,,,,900,234,3
M1-G1,RR,ChiafNeef,76561198365208664,LW,4,2,1.16,4,11,6,10,2,4,0,165,109.1,0,0,,,,,,,,900,368.5,0
M1-G1,CG67,OVO,76561198981139688,LW,0,0,0.15,2,6,3,5,0,3,0,90,55.3,0,0,,,,,,,,900,18,0
M1-G1,CG67,ElitestPeggerson,76561198034215852,C,0,0,0.00,0,5,3,0,0,1,4,61,49.9,1,4,,,,,,,,900,40.5,0
M1-G1,RR,Pyros,76561198116230416,LD,1,2,1.11,5,11,4,8,0,0,2,97,66.8,0,0,,,,,,,,900,209.5,1
M1-G1,CG67,jurkey,76561199027789459,RD,0,0,0.48,3,13,6,3,2,1,0,142,87.5,1,4,,,,,,,,900,56.5,0
M1-G1,CG67,puff,76561198317592509,G,0,0,,0,1,0,0,0,0,0,12,0.8,0,0,18,7,4.12,4,7,0,0,900,112.5,0
M1-G1,RR,Zen,76561198248012002,G,0,1,,0,2,0,0,0,0,0,13,1.8,0,0,6,0,0.74,0,6,1,1,900,195,0
M1-G2,RR,Radioheadlover,76561199014254328,C,0,1,0.71,3,8,1,5,0,1,1,84,60.4,1,2,,,,,,,,900,73.5,0
M1-G2,CG67,carl,76561198095080755,LD,0,0,0.46,4,7,2,3,0,2,1,53,30.5,0,0,,,,,,,,900,40,0
M1-G2,RR,SiddedOn,76561199749591762,RD,0,0,0.27,3,8,11,3,0,0,2,96,66.9,0,0,,,,,,,,900,69,1
M1-G2,RR,ChiafNeef,76561198365208664,LW,1,0,0.68,5,9,3,8,0,1,3,143,108.2,0,0,,,,,,,,900,141,0
M1-G2,CG67,OVO,76561198981139688,LW,0,0,0.22,1,8,4,3,0,2,1,102,61.5,0,0,,,,,,,,900,29.5,0
M1-G2,CG67,ElitestPeggerson,76561198034215852,RD,0,0,0.32,3,13,3,3,0,0,1,68,52.6,0,0,,,,,,,,900,66,1
M1-G2,RR,Pyros,76561198116230416,LD,0,0,0.18,1,8,3,2,0,2,0,67,42.3,0,0,,,,,,,,900,20,0
M1-G2,CG67,jurkey,76561199027789459,C,0,0,0.10,1,6,4,6,0,2,1,148,99.4,2,1,,,,,,,,900,27.5,0
M1-G2,CG67,puff,76561198317592509,G,0,0,,0,3,2,0,1,0,0,18,2.6,0,0,12,1,1.84,1,10,0,0,900,117.5,0
M1-G2,RR,Zen,76561198248012002,G,0,1,,0,2,2,1,0,0,0,15,5.7,0,0,9,0,1.10,0,9,1,1,900,225,0
M1-G3,RR,Radioheadlover,76561199014254328,C,2,0,0.72,3,3,2,2,0,1,1,49,54.3,1,2,,,,,,,,300,159,0
M1-G3,CG67,carl,76561198095080755,LD,0,1,0.00,0,10,3,4,0,3,1,106,85.6,0,0,,,,,,,,900,59.5,1
M1-G3,RR,SiddedOn,76561199749591762,RD,0,2,0.18,2,7,3,6,2,1,3,112,84,0,0,,,,,,,,900,119,0
M1-G3,CG67,OVO,76561198981139688,LW,0,1,0.00,0,10,1,5,0,3,1,82,63.4,0,0,,,,,,,,900,53.5,0
M1-G3,CG67,ElitestPeggerson,76561198034215852,RD,1,0,0.28,1,5,4,2,1,2,1,63,52.9,0,0,,,,,,,,900,88.5,0
M1-G3,RR,Pyros,76561198116230416,C,0,0,0.00,0,2,0,1,0,0,2,31,31.2,0,1,,,,,,,,301.5,21,0
M1-G3,CG67,jurkey,76561199027789459,C,0,0,0.18,1,10,2,6,0,4,2,164,150.1,3,3,,,,,,,,900,33,0
M1-G3,CG67,puff,76561198317592509,G,0,0,,0,4,2,1,0,0,0,16,12.9,0,0,6,2,1.07,1,3,0,0,900,50,0
M1-G3,RR,Mushy,76561198011028796,LW,0,0,0.17,1,5,5,5,1,1,2,101,65.3,0,0,,,,,,,,900,40,0
M1-G3,RR,Zen,76561198248012002,G,0,1,,0,1,0,0,0,0,0,6,1.2,0,0,2,1,0.47,0,1,1,0,900,42.5,0
M1-G3,RR,Nem,76561197966112800,LD,0,1,0.00,0,7,3,0,1,1,4,67,52.1,0,0,,,,,,,,900,83,1
M1-G3,RR,Oodoo,76561198872690627,C,0,0,0.00,0,1,1,0,0,1,0,13,6.9,2,0,,,,,,,,298.5,-1.5,0
M2-G1,BRG,placenta,76561198243022268,RD,0,0,0.00,0,10,3,1,0,0,0,79,49.5,0,0,,,,,,,,900,29,0
M2-G1,FOX,Midnight,76561198978362192,LD,0,0,0.00,0,11,8,8,1,1,1,97,67.4,0,0,,,,,,,,900,53.5,1
M2-G1,FOX,BOESER,76561199088950776,C,0,0,0.98,2,9,5,3,0,2,1,65,47.3,1,2,,,,,,,,900,38,0
M2-G1,FOX,Fly,76561199349727090,RD,0,0,1.03,4,6,4,4,1,2,3,119,97,0,0,,,,,,,,900,58,0
M2-G1,BRG,DP,76561199223944519,LD,0,0,0.11,1,11,1,1,2,1,1,56,41.5,0,0,,,,,,,,900,47,1
M2-G1,BRG,SoCanadian,76561198143149955,LW,0,1,0.00,0,12,6,4,0,2,2,84,65.6,0,0,,,,,,,,900,75,0
M2-G1,BRG,VanHiggy,76561198167026110,C,1,0,0.53,2,4,5,6,0,2,1,111,87,2,1,,,,,,,,900,98.5,1
M2-G1,FOX,foxbrow,76561198987362385,LW,0,0,0.17,1,8,0,3,3,0,0,53,45.6,0,0,,,,,,,,900,35.5,0
M2-G1,FOX,Miku,76561198366630907,G,0,0,,0,1,1,0,0,0,0,5,0.2,0,0,3,1,0.64,1,1,0,0,900,22.5,0
M2-G1,BRG,Jarry,76561198054769515,G,0,1,,0,5,3,0,0,0,1,17,1.4,0,0,7,0,2.18,2,5,1,1,900,212.5,0
M2-G2,FOX,Jyler,76561198299335773,C,0,0,0.49,2,7,2,3,2,0,0,46,12.4,0,4,,,,,,,,900,37.5,0
M2-G2,FOX,Nakamura,76561198177471671,G,0,0,,0,3,1,0,0,0,0,16,3.7,0,0,5,1,0.75,0,4,0,0,900,47.5,0
M2-G2,FOX,GetWoke,76561198119690025,LW,0,0,0.00,0,9,0,3,0,0,1,47,27.4,0,0,,,,,,,,900,38,1
M2-G2,FOX,Fly,76561199349727090,LD,0,0,0.69,3,13,6,5,0,1,2,158,125.3,0,0,,,,,,,,900,68.5,0
M2-G2,BRG,DP,76561199223944519,LD,0,1,0.00,0,10,1,3,2,2,0,60,35.1,0,0,,,,,,,,900,54,0
M2-G2,BRG,FORD,76561198042105035,RD,0,1,0.00,0,8,0,3,1,0,0,52,28.6,0,0,,,,,,,,900,55.5,0
M2-G2,BRG,SoCanadian,76561198143149955,LW,1,0,0.21,2,12,3,4,0,1,2,103,74,0,0,,,,,,,,900,122,0
M2-G2,BRG,VanHiggy,76561198167026110,C,0,0,0.53,3,10,1,8,0,3,0,102,73.9,4,0,,,,,,,,900,34,0
M2-G2,BRG,Jarry,76561198054769515,G,0,0,,0,3,0,0,0,0,0,17,9.6,0,0,5,0,1.18,2,3,1,1,900,157.5,0
M2-G2,FOX,Miku,76561198366630907,RD,0,0,0.00,0,18,5,4,0,1,3,64,54.8,0,0,,,,,,,,900,71.5,0
M2-G3,FOX,Nakamura,76561198177471671,G,0,1,,0,1,0,0,0,0,0,10,0.8,0,0,8,1,1.19,0,7,1,0,900,102.5,0
M2-G3,BRG,placenta,76561198243022268,LD,0,1,0.07,1,7,4,6,0,1,0,91,63.5,0,0,,,,,,,,900,57.5,0
M2-G3,FOX,Midnight,76561198978362192,C,0,1,0.40,2,9,3,6,0,1,0,96,70.6,5,2,,,,,,,,900,71.5,1
M2-G3,FOX,BOESER,76561199088950776,LW,2,1,1.15,4,12,6,5,0,1,0,91,69.1,0,0,,,,,,,,900,216,0
M2-G3,FOX,Fly,76561199349727090,RD,1,2,1.06,5,11,8,13,0,2,1,169,143.1,0,0,,,,,,,,900,201,1
M2-G3,BRG,FORD,76561198042105035,LW,0,1,0.00,0,8,2,0,0,0,0,46,16.3,0,0,,,,,,,,900,52,0
M2-G3,BRG,SoCanadian,76561198143149955,RD,0,0,0.32,3,10,4,2,1,0,2,101,73.2,0,0,,,,,,,,900,68.5,1
M2-G3,BRG,VanHiggy,76561198167026110,C,1,0,0.81,4,9,7,9,0,1,1,119,98.9,2,5,,,,,,,,900,126,0
M2-G3,BRG,Jarry,76561198054769515,G,0,0,,0,5,1,0,0,0,1,19,6.4,0,0,12,3,2.71,2,7,0,0,900,102.5,0
M2-G3,FOX,Miku,76561198366630907,LD,0,1,0.09,1,4,0,0,0,0,1,26,12.9,0,0,,,,,,,,900,52.5,0
M3-G1,BB,hayden,76561198401353673,C,2,0,1.95,10,8,1,8,0,2,0,118,90.4,4,1,,,,,,,,900,199,0
M3-G1,BB,BarDownBart,76561198268552083,RD,0,1,0.14,1,17,4,9,0,2,2,77,56.4,0,0,,,,,,,,900,95.5,0
M3-G1,PP,Poro,76561198072423953,C,0,0,0.01,1,8,4,3,0,2,3,108,61.1,1,4,,,,,,,,900,49.5,1
M3-G1,PP,silly,76561198353224230,LW,0,0,0.00,0,11,2,2,0,1,1,55,23.7,0,0,,,,,,,,900,34,0
M3-G1,BB,Blooma,76561199030119453,LD,0,1,0.35,2,13,4,6,1,0,1,109,78,0,0,,,,,,,,900,92.5,0
M3-G1,BB,Nakesy,76561198768487986,LW,0,2,0.28,2,9,1,1,0,4,0,94,72.7,0,0,,,,,,,,900,74.5,0
M3-G1,PP,Chilliam,76561198319462482,LD,0,0,0.00,0,8,3,0,0,0,2,50,41.8,0,0,,,,,,,,900,38,0
M3-G1,PP,Invincible,76561198074692393,RD,0,0,0.00,0,14,7,1,0,0,1,77,55.1,0,0,,,,,,,,900,50.5,0
M3-G1,BB,Gumpy,76561198983591530,G,0,0,,1,2,1,0,0,0,0,8,5.4,0,0,1,0,0.01,0,1,1,1,900,115,0
M3-G1,PP,milk,76561198084497364,G,0,0,,0,2,1,1,0,0,1,22,3,0,0,16,2,2.73,2,12,0,0,900,145,0
M3-G2,BB,hayden,76561198401353673,C,0,0,0.47,2,11,0,5,0,3,1,110,70.2,2,2,,,,,,,,900,35,0
M3-G2,BB,BarDownBart,76561198268552083,RD,0,0,0.00,0,13,6,2,0,3,0,79,43.3,0,0,,,,,,,,900,25.5,0
M3-G2,PP,Poro,76561198072423953,C,0,0,0.16,1,8,2,6,0,2,2,101,71.3,2,2,,,,,,,,900,38,0
M3-G2,PP,silly,76561198353224230,LW,0,0,0.00,0,9,0,2,1,1,2,68,40.7,0,0,,,,,,,,900,37,0
M3-G2,BB,Blooma,76561199030119453,LD,0,0,0.23,1,8,4,4,2,1,2,104,66.8,0,0,,,,,,,,900,48,0
M3-G2,BB,Nakesy,76561198768487986,LW,0,0,0.45,4,18,5,5,1,1,1,100,67.1,0,0,,,,,,,,900,85,1
