name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
ALEJO,76561198146087733,S,,8,7,3,4,0.7679368097710818,17,64,21,25,0,10,7,547,391.09999999999997,4,4,0,0,0,0,0,0,0,0,0,613.5,67.30417611350838,3.83,0.00,LBR,name:ALEJO,8203.8,0,8203.8,1025.475,0,1025.475,1,24,40,3,7,7,0
Anvil,76561198046087380,S/G,,12,13,2,11,0.999948720578432,12,192,69,59,2,15,25,1100,810.9,0,0,0,0,0,0,0,0,0,0,0,1280.5,98.49494897697555,1.23,0.00,MOFO,name:Anvil,11700.599999999999,0,11700.599999999999,975.0499999999998,0,975.0499999999998,7,150,42,4,11,21,5
BarDownBart,76561198268552083,S,Captain,12,8,2,6,0.6666666666666666,18,136,53,54,1,19,12,1158,762.8999999999999,2,3,0,0,0,0,0,0,0,0,0,884.5,73.70833333333333,2.62,0.00,BB,name:BarDownBart,10800,0,10800,900,0,900,8,100,34,4,15,11,1
Bingus,76561198170165423,S,,10,8,0,8,0.6999873613393092,9,158,48,30,1,12,8,689,497.20000000000005,0,0,0,0,0,0,0,0,0,0,0,835.5,73.1049300498741,0.45,0.00,LBR,name:Bingus,10285.9,0,10285.9,1028.59,0,1028.59,15,137,21,6,6,8,0
bleh,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:bleh,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomer,76561199030119453,S/G,,10,5,0,5,0.5461761600174776,13,101,47,37,7,5,16,806,555.7,0,0,0,0,0,0,0,0,0,0,0,684,74.71689869039093,1.67,0.00,BB,name:Bloomer,8239.1,0,8239.1,823.9100000000001,0,823.9100000000001,4,70,31,2,3,12,4
BOESER,76561199088950776,S,,6,7,5,2,1.10874500624769,24,63,27,23,0,9,7,542,422.6,1,2,0,0,0,0,0,0,0,0,0,725,114.83430421851075,6.78,0.00,LBR,name:BOESER,5682.1,0,5682.1,947.0166666666668,0,947.0166666666668,1,23,40,0,9,2,5
Bwall,,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:Bwall,0,0,0,0,0,0,0,0,0,0,0,0,0
carl,76561198095080755,S,Captain,3,1,0,1,0.3333333333333333,5,31,13,15,1,6,4,264,198.8,0,0,0,0,0,0,0,0,0,0,0,173,57.666666666666664,0.46,0.00,CG67,name:carl,2700,0,2700,900,0,900,2,25,6,3,3,3,1
Cave,,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Cave,0,0,0,0,0,0,0,0,0,0,0,0,0
ChiafNeef,76561198365208664,S,,8,15,7,8,1.804306277649323,27,75,33,48,7,26,12,1096,787.8,1,2,0,0,0,0,0,0,0,0,0,1086,130.63177450181098,5.62,0.00,CG67,name:ChiafNeef,7482.1,0,7482.1,935.2625,0,935.2625,2,30,45,4,22,7,6
Chilliam,76561198319462482,S,,6,7,1,6,1.1666666666666667,2,48,20,9,0,6,8,308,218.39999999999998,0,0,0,0,0,0,0,0,0,0,0,434,72.33333333333333,0.44,0.00,PP,name:Chilliam,5400,0,5400,900,0,900,0,35,13,2,4,7,1
clashroyale,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:clashroyale,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooley,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Cooley,0,0,0,0,0,0,0,0,0,0,0,0,0
dabz,76561198007427371,S/G,,6,5,1,4,0.8620194241710246,7,66,32,24,0,5,12,509,418.59999999999997,0,0,0,0,0,0,0,0,0,0,0,531,91.54646284696281,1.48,0.00,BRG,name:dabz,5220.3,0,5220.3,870.0500000000001,0,870.0500000000001,5,52,14,2,3,10,2
Dan,,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,RR,name:Dan,0,0,0,0,0,0,0,0,0,0,0,0,0
DankyD,76561199659216812,S,,2,1,0,1,0.5418422636965683,2,26,9,5,0,3,3,115,72.9,0,0,0,0,0,0,0,0,0,0,0,126.5,68.54304635761589,0.31,0.00,BB,name:DankyD,1661,0,1661,830.5,0,830.5,0,21,5,0,3,2,1
DEMKO,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:DEMKO,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,76561199223944519,S,,4,2,0,2,0.4860661049902787,6,43,6,10,9,8,4,310,230.9,0,0,0,0,0,0,0,0,0,0,0,231,56.14063512637719,0.66,0.00,BRG,name:DP,3703.2,0,3703.2,925.8,0,925.8,1,29,14,1,7,3,1
ElitestPeggerson,76561198034215852,S,,6,2,2,0,0.3333333333333333,8,40,16,10,2,3,10,331,252.70000000000002,1,4,0,0,0,0,0,0,0,0,0,371,61.833333333333336,1.71,0.00,CG67,name:ElitestPeggerson,5400,0,5400,900,0,900,2,25,15,1,2,8,2
ethswan,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,FOX,name:ethswan,0,0,0,0,0,0,0,0,0,0,0,0,0
extendo,76561198731242562,S,,1,0,0,0,0,0,17,5,1,0,0,3,70,49.5,0,0,0,0,0,0,0,0,0,0,0,71,71,0.00,0.00,PP,name:extendo,900,0,900,900,0,900,0,14,3,0,0,2,1
Fly,76561199349727090,S,,12,15,6,9,1.25,42,135,102,92,2,31,30,1870,1554.3999999999999,0,0,0,0,0,0,0,0,0,0,0,1501.5,125.125,8.43,0.00,FOX,name:Fly,10800,0,10800,900,0,900,5,93,42,3,29,23,7
FlyinCharles,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:FlyinCharles,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,76561198042105035,S,,6,5,0,5,0.8333333333333334,8,43,11,23,2,3,2,335,202.5,0,0,0,0,0,0,0,0,0,0,0,341.5,56.916666666666664,1.04,0.00,BRG,name:FORD,5400,0,5400,900,0,900,1,31,12,0,3,2,0
Foster,76561199191678078,S/G,Alternate Captain,0,1,0,1,0,2,47,9,2,0,1,4,295,123.3,0,0,12,122,15,17,90,1.1170041122299539,0.8770491803278688,6,3,1517.5,113.00358268726367,0.00,23.88,LBR,name:Foster,0,12085.9,12085.9,0,1007.1583333333333,1007.1583333333333,0,46,1,0,1,4,0
foxbrow,76561198987362385,S,,9,12,6,6,1.3333333333333333,24,76,10,20,37,9,9,489,371.5,4,9,0,0,0,0,0,0,0,0,0,1025,113.88888888888889,6.50,0.00,FOX,name:foxbrow,8100,0,8100,900,0,900,0,19,52,2,7,3,6
Frolov,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:Frolov,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Woke,76561198119690025,S,,1,0,0,0,0,0,9,0,3,0,0,1,47,27.4,0,0,0,0,0,0,0,0,0,0,0,38,38,0.00,0.00,,name:Get Woke,900,0,900,900,0,900,1,2,7,0,0,1,0
ghost,76561199046702548,S/G,,0,1,0,1,0,0,42,8,4,0,3,3,173,68.4,0,0,9,106,22,21,63,2.1998533431104597,0.7924528301886793,3,0,975,97.49350043330446,0.00,22.48,MOFO,name:ghost,0,9000.599999999999,9000.599999999999,0,1000.0666666666665,1000.0666666666665,0,42,0,3,0,3,0
Glenlivet,76561198432372019,G,,0,4,0,4,0,0,21,2,0,0,0,0,115,44.79999999999999,0,0,7,74,13,10,51,1.78915496834572,0.8243243243243243,4,3,1082.5,148.98155794109553,0.00,13.49,PP,name:Glenlivet,0,6539.4,6539.4,0,934.1999999999999,934.1999999999999,0,21,0,0,0,0,0
GOODLEAF,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:GOODLEAF,0,0,0,0,0,0,0,0,0,0,0,0,0
google,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,MOFO,name:google,0,0,0,0,0,0,0,0,0,0,0,0,0
GrantOsaurus,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:GrantOsaurus,0,0,0,0,0,0,0,0,0,0,0,0,0
Gumpy,76561198983591530,G,,0,0,0,0,0,2,37,7,2,0,2,2,145,46.7,0,0,10,79,13,26,40,1.3,0.8354430379746836,3,2,952.5,95.25,0.00,17.24,BB,name:Gumpy,0,9000,9000,0,900,900,0,37,0,2,0,2,0
HatTrickHomer,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:HatTrickHomer,0,0,0,0,0,0,0,0,0,0,0,0,0
hayden,76561198401353673,S,Alternate Captain,12,11,8,3,0.9166666666666666,59,127,30,66,4,27,16,1447,1052.3,38,18,0,0,0,0,0,0,0,0,0,1313.5,109.45833333333333,11.73,0.00,BB,name:hayden,10800,0,10800,900,0,900,0,51,74,2,25,11,5
imacomputa,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:imacomputa,0,0,0,0,0,0,0,0,0,0,0,0,0
Invincible,76561198074692393,S/G,,2,1,0,1,0.5,1,28,8,1,0,0,2,138,94.9,0,0,0,0,0,0,0,0,0,0,0,134,67,0.00,0.00,PP,name:Invincible,1800,0,1800,900,0,900,1,27,1,0,0,2,0
Jarry,76561198054769515,S/G,Captain,0,1,0,1,0,0,30,9,1,0,0,2,121,35.7,0,0,8,60,4,15,41,0.49293460400920147,0.9333333333333333,6,6,1265,155.89056851790997,0.00,10.70,BRG,name:Jarry,0,7303.2,7303.2,0,912.9,912.9,0,30,0,0,0,2,0
