name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
JB,76561198288926809,S,Captain,21,23,3,20,1.038598744650213,31,276,148,108,0,56,68,2595,1711.8000000000004,5,2,0,0,0,0,0,0,0,0,0,2191,98.93781954472246,4.79,0.00,BCL,name:JB,19930.7,0,19930.7,949.0809523809525,0,949.0809523809525,13,237,39,19,37,62,5
Marcus,76561199865143074,S,Captain,20,28,13,15,1.250787946772024,64,236,112,163,9,75,65,3110,2203.6000000000004,23,43,0,0,0,0,0,0,0,0,0,2645,118.15478997185727,13.17,0.00,LL,name:Marcus,20147.3,0,20147.3,1007.365,0,1007.365,6,96,134,7,67,42,23
Nick,76561199075874498,S,Captain,19,46,25,21,2.162839902828932,80,327,91,154,25,61,31,3322,2466.1000000000004,85,68,0,0,0,0,0,0,0,0,0,3727.5,175.2605595172792,16.85,0.00,NK,name:nickisntcool,19141.5,0,19141.5,1007.4473684210526,0,1007.4473684210526,4,155,161,8,53,19,12
Foster,76561199191678078,G,Captain,3,4,0,4,1.3333333333333333,3,69,23,15,3,3,11,482,252.4,0,0,13,139,27,61,51,1.6925777331995988,0.8057553956834532,7,2,1687.5,89.04073448712538,0.14,19.75,PKN,name:Foster,2700,14356.8,17056.8,900,1104.3692307692306,1066.05,2,61,8,1,2,10,1
Silly,76561198353224230,S,Captain,3,3,0,3,1.4149460224295147,1,30,11,4,0,2,4,131,88.1,0,0,0,0,0,0,0,0,0,0,0,220,103.76270831149775,0.03,0.00,SEA,name:silly,1908.2,0,1908.2,636.0666666666667,0,636.0666666666667,3,26,4,0,2,4,0
Grab,76561198180293369,S,Captain,21,53,39,14,2.4809636749469477,120,271,85,167,7,67,46,3384,2753.3999999999996,90,50,0,0,0,0,0,0,0,0,0,4522,211.67769317188865,26.45,0.00,TOR,name:player 43,19226.4,0,19226.4,915.5428571428572,0,915.5428571428572,2,110,159,7,60,28,18
kolt,76561199699721546,S,,21,57,30,27,2.5185825240811837,88,323,95,125,27,79,48,3035,2118.8,79,79,0,0,0,0,0,0,0,0,0,4310,190.44018734719126,20.07,0.00,SEA,name:matvei,20368.600000000002,0,20368.600000000002,969.9333333333334,0,969.9333333333334,10,166,143,9,70,35,13
PrayForLeslie,76561198144272097,S,,18,33,15,18,1.5745109473572603,80,281,96,130,6,60,64,2626,1869.6999999999996,0,0,0,0,0,0,0,0,0,0,0,3103.5,148.0755977310078,16.30,0.00,PKN,name:PrayForLeslie,18863,0,18863,1047.9444444444443,0,1047.9444444444443,13,155,126,17,43,48,16
stinkyshawn,76561198068115505,S,,24,40,26,14,1.4710148776810268,99,256,84,110,15,39,41,2428,1640.4999999999998,53,63,0,0,0,0,0,0,0,0,0,3604,132.5384404790605,22.54,0.00,LL,name:stinkyshawn,24472.899999999998,0,24472.899999999998,1019.7041666666665,0,1019.7041666666665,3,116,137,7,32,25,16
moose,76561198127159353,S,,18,32,17,15,1.7011122202467797,58,192,59,119,4,54,26,2060,1557.4999999999998,61,73,0,0,0,0,0,0,0,0,0,2443,129.8692860644651,11.88,0.00,BCL,name:moose,16930.1,0,16930.1,940.561111111111,0,940.561111111111,1,96,89,10,44,18,8
