match_id,team_id,player_name,steam_id,position,g,a,xG,shots,passes,exits,entries,hits,turnovers,takeaways,touches,poss_s,fow,fol,sa,ga,xGA,body_sv,stick_sv,w,so,toi_s,sp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
M1-G1,VAN,Stinger,76561198864076771,RW,1,0,0.27,1,15,3,4,0,4,3,131,107.6,0,0,,,,,,,,2210.2,122,1,9,6,0,4,2,1
M1-G1,VAN,Bwall,76561198278689368,LD,0,1,0.33,4,27,6,11,2,3,5,185,138.2,0,0,,,,,,,,2210.2,162,0,19,8,2,1,5,0
M1-G1,206,cloog,76561198120539424,LD,0,0,0.30,5,38,18,13,0,4,6,250,205.8,0,0,,,,,,,,2210.2,186,2,30,8,1,3,5,1
M1-G1,206,Miku,76561198366630907,LW,0,0,0.21,2,21,2,3,0,3,2,119,69.9,0,0,,,,,,,,2210.2,67.5,0,13,8,0,3,2,0
M1-G1,206,Sho,76561199883277940,RD,0,0,0.01,0,12,1,1,0,1,3,54,10.4,0,0,,,,,,,,2210.2,49.5,0,10,2,1,0,3,0
M1-G1,206,BigChin,76561198039434493,C,0,0,0.61,4,16,5,9,0,8,4,227,171.1,1,7,,,,,,,,2210.2,64,0,8,7,3,5,2,2
M1-G1,VAN,Leo,76561198245601528,G,0,0,,0,10,3,1,0,0,0,41,30.8,0,0,11,0,0.53,8,3,1,1,2210.2,235,0,10,0,0,0,0,0
M1-G1,VAN,Frolov,76561198020702570,C,0,1,1.66,5,25,4,7,0,5,6,157,131.3,7,1,,,,,,,,2210.2,148.5,0,8,17,0,5,2,4
M1-G1,VAN,Marsamune,76561198054769515,RD,0,0,0.26,1,36,15,8,0,5,2,237,205.1,0,0,,,,,,,,2210.2,108,0,26,10,1,4,2,0
M1-G1,206,Ziggy,76561199089463668,G,0,0,,0,7,2,1,0,0,2,31,6.1,0,0,11,1,1.73,3,7,0,0,2210.2,117.5,0,7,0,0,0,2,0
M1-G2,VAN,Stinger,76561198864076771,RW,0,1,0.07,1,8,2,3,0,2,0,47,41.3,0,0,,,,,,,,900,50,0,5,3,0,2,0,0
M1-G2,VAN,Bwall,76561198278689368,LD,0,0,0.01,0,16,3,3,0,1,4,69,54,0,0,,,,,,,,900,71,0,14,2,1,0,4,0
M1-G2,206,cloog,76561198120539424,G,0,0,,0,8,6,0,0,0,0,21,11.6,0,0,3,1,0.25,1,1,0,0,900,40,0,8,0,0,0,0,0
M1-G2,206,Miku,76561198366630907,LW,0,0,0.18,2,13,2,3,0,1,1,56,33,0,0,,,,,,,,900,50,0,8,5,0,1,1,0
M1-G2,206,BigChin,76561198039434493,C,0,0,1.13,7,12,1,5,0,3,3,123,90.5,3,1,,,,,,,,900,78.5,0,3,8,0,3,3,0
M1-G2,206,TTVSkitsArk,76561198375175355,RD,0,0,0.04,0,6,2,3,0,0,1,47,25.3,0,0,,,,,,,,900,27.5,0,3,3,0,0,0,1
M1-G2,VAN,Leo,76561198245601528,G,0,0,,0,3,1,0,0,0,0,15,5.2,0,0,9,0,0.88,5,4,1,1,900,197.5,0,3,0,0,0,0,0
M1-G2,206,Mobys,76561198059190306,LD,0,0,0.22,0,12,6,3,0,1,0,63,47.4,0,0,,,,,,,,900,34,0,6,6,0,1,0,0
M1-G2,VAN,Frolov,76561198020702570,C,0,1,0.31,1,6,2,1,1,1,0,48,29,1,3,,,,,,,,900,50.5,0,2,3,0,1,0,0
M1-G2,VAN,Marsamune,76561198054769515,RD,1,0,0.09,1,15,8,6,0,1,1,83,63.9,0,0,,,,,,,,900,124,0,13,2,0,1,1,0
M1-G3,VAN,Stinger,76561198864076771,RW,1,1,1.29,7,9,0,5,0,1,0,74,61.6,0,0,,,,,,,,900,152.5,0,1,8,0,1,0,0
M1-G3,VAN,Bwall,76561198278689368,C,3,1,2.55,9,13,4,4,0,1,1,103,65.6,2,6,,,,,,,,900,313,0,4,8,1,0,0,1
M1-G3,206,cloog,76561198120539424,G,1,0,,1,5,2,1,0,0,0,21,14.8,0,0,6,1,0.99,1,4,0,0,406.4,127.5,0,4,1,0,0,0,0
M1-G3,206,Miku,76561198366630907,RD,0,0,0.00,0,2,0,1,0,0,0,11,2.7,0,0,,,,,,,,406.4,6,0,1,1,0,0,0,0
M1-G3,206,Sho,76561199883277940,LD,0,0,0.16,1,2,1,0,0,0,0,12,8.6,0,0,,,,,,,,493.6,11,0,2,0,0,0,0,0
M1-G3,206,BigChin,76561198039434493,LD,0,0,0.08,0,5,2,2,0,0,1,32,22.5,0,0,,,,,,,,406.4,24,0,4,1,0,0,0,1
M1-G3,206,TTVSkitsArk,76561198375175355,RD,0,0,0.16,2,4,0,1,0,0,0,24,14,0,0,,,,,,,,493.6,21,0,4,0,0,0,0,0
M1-G3,VAN,Leo,76561198245601528,G,0,0,,0,2,1,1,0,0,1,19,9.4,0,0,8,1,0.58,2,5,1,0,900,75,0,2,0,0,0,1,0
M1-G3,206,Mobys,76561198059190306,LW,0,1,0.05,2,7,4,4,0,1,0,55,37.3,0,0,,,,,,,,900,60.5,0,7,0,1,0,0,0
M1-G3,VAN,Frolov,76561198020702570,LD,1,3,1.31,2,9,1,5,0,1,1,45,26,0,0,,,,,,,,900,196,0,4,5,0,1,0,1
M1-G3,VAN,Marsamune,76561198054769515,RD,0,4,0.10,0,17,8,6,0,0,2,77,48.2,0,0,,,,,,,,900,191.5,0,13,4,0,0,2,0
M1-G3,206,custom,76561197961501827,C,0,1,0.10,2,12,1,6,1,4,2,101,72.2,6,2,,,,,,,,900,79.5,1,6,6,1,3,2,0
M1-G3,206,JacksonSmith,76561198378897447,G,0,0,,0,2,0,0,0,0,0,16,7.8,0,0,12,4,3.13,5,3,0,0,493.6,85,0,2,0,0,0,0,0
