name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
cat,76561198103395907,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,KLN,name:cat,0,0,0,0,0,0,0,0,0,0,0,0,0
GOOGI,76561198311773711,S,,4,5,2,3,0.9093480984520874,15,66,17,34,0,11,5,491,339.8,0,0,0,0,0,0,0,0,0,0,0,493.5,89.75265731722102,3.47,0.00,206,name:GOOGI,4948.6,0,4948.6,1237.15,0,1237.15,0,33,33,0,11,2,3
Oodoo,76561198872690627,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Oodoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Draisaitl,76561199060203717,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Draisaitl,0,0,0,0,0,0,0,0,0,0,0,0,0
WillRob,76561198812436538,G,,0,2,0,2,0,0,20,8,2,0,0,1,72,27.3,0,0,4,38,6,15,17,1.091217718142505,0.8421052631578947,2,0,430,78.20393646687951,0.00,4.18,206,name:WillRob,0,4948.6,4948.6,0,1237.15,1237.15,0,20,0,0,0,1,0
Knodel,76561198811763552,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,KLN,name:Knodel,0,0,0,0,0,0,0,0,0,0,0,0,0
Weariertomato,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Weariertomato,0,0,0,0,0,0,0,0,0,0,0,0,0
Son,76561199067236208,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Son,0,0,0,0,0,0,0,0,0,0,0,0,0
Woo,76561198217845669,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Woo,0,0,0,0,0,0,0,0,0,0,0,0,0
TSUJIMOTO,76561199191382864,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:TSUJIMOTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorg,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Sorg,0,0,0,0,0,0,0,0,0,0,0,0,0
NoahWR,76561198385814840,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,206,name:NoahWR,0,0,0,0,0,0,0,0,0,0,0,0,0
KeitoNakamura,76561198275780756,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:KeitoNakamura,0,0,0,0,0,0,0,0,0,0,0,0,0
ttearr,76561198763818494,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:ttearr,0,0,0,0,0,0,0,0,0,0,0,0,0
bigbootycheeks,76561199498312895,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:bigbootycheeks,0,0,0,0,0,0,0,0,0,0,0,0,0
lain,76561198404691672,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,EVT,name:lain,0,0,0,0,0,0,0,0,0,0,0,0,0
Miztiku,76561199569458344,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Miztiku,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDawg,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,EVT,name:ZDawg,0,0,0,0,0,0,0,0,0,0,0,0,0
Biage,76561198084263969,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,EVT,name:Biage,0,0,0,0,0,0,0,0,0,0,0,0,0
Dog,76561198177345910,S,,4,5,1,4,0.9093480984520874,7,40,6,5,3,5,6,194,89.5,0,0,0,0,0,0,0,0,0,0,0,358.5,65.20025865901466,1.88,0.00,EVT,name:Dog,4948.6,0,4948.6,1237.15,0,1237.15,0,16,24,1,4,5,1
