match_id,week,home_team_id,away_team_id,stage,status,imported_on
M1-G1,1,VAN,206,reg,final,2026-06-23
M1-G2,1,VAN,206,reg,final,2026-06-23
M1-G3,1,VAN,206,reg,final,2026-06-23
M4-G1,2,KLN,206,reg,final,2026-07-02
M4-G2,2,KLN,206,reg,final,2026-07-02
M4-G3,2,KLN,206,reg,final,2026-07-02
M5-G1,2,VIC,EVT,reg,final,2026-07-03
M5-G2,2,VIC,EVT,reg,final,2026-07-03
M5-G3,2,VIC,EVT,reg,final,2026-07-03
M2-G1,3,VIC,KLN,reg,final,2026-07-07
M2-G2,3,VIC,KLN,reg,final,2026-07-07
M2-G3,3,VIC,KLN,reg,final,2026-07-07
M8-G1,3,KLN,EVT,reg,final,2026-07-08
M8-G2,3,KLN,EVT,reg,final,2026-07-08
M8-G3,3,KLN,EVT,reg,final,2026-07-08
M6-G1,3,VAN,CGY,reg,final,2026-07-12
M6-G2,3,VAN,CGY,reg,final,2026-07-12
M6-G3,3,VAN,CGY,reg,final,2026-07-12
M12-G1,4,EVT,VIC,reg,final,2026-07-13
M12-G2,4,EVT,VIC,reg,final,2026-07-13
M12-G3,4,EVT,VIC,reg,final,2026-07-13
M7-G1,4,VIC,VAN,reg,final,2026-07-14
M7-G2,4,VIC,VAN,reg,final,2026-07-14
M7-G3,4,VIC,VAN,reg,final,2026-07-14
M9-G1,4,CGY,206,reg,final,2026-07-14
M9-G2,4,CGY,206,reg,final,2026-07-14
M9-G3,4,CGY,206,reg,final,2026-07-14
M3-G1,4,CGY,EVT,reg,final,2026-07-15
M3-G2,4,CGY,EVT,reg,final,2026-07-15
M3-G3,4,CGY,EVT,reg,final,2026-07-15
M10-G1,4,206,VAN,reg,final,2026-07-16
M10-G2,4,206,VAN,reg,final,2026-07-16
M10-G3,4,206,VAN,reg,final,2026-07-16
M11-G1,5,CGY,KLN,reg,final,2026-07-20
M11-G2,5,CGY,KLN,reg,final,2026-07-20
M11-G3,5,CGY,KLN,reg,final,2026-07-20
M13-G1,5,VAN,KLN,reg,final,2026-07-23
M13-G2,5,VAN,KLN,reg,final,2026-07-23
M13-G3,5,VAN,KLN,reg,final,2026-07-23
M15-G1,5,VIC,CGY,reg,final,2026-07-22
M15-G2,5,VIC,CGY,reg,final,2026-07-22
M15-G3,5,VIC,CGY,reg,final,2026-07-22
M18-G1,6,CGY,VAN,reg,final,2026-07-27
M18-G2,6,CGY,VAN,reg,final,2026-07-27
M18-G3,6,CGY,VAN,reg,final,2026-07-27
M14-G1,6,EVT,206,reg,final,2026-07-28
M14-G2,6,EVT,206,reg,final,2026-07-28
M14-G3,6,EVT,206,reg,final,2026-07-28
M17-G1,7,206,VIC,reg,final,2026-08-03
M17-G2,7,206,VIC,reg,final,2026-08-03
M17-G3,7,206,VIC,reg,final,2026-08-03
M21-G1,7,206,CGY,reg,final,2026-08-05
M21-G2,7,206,CGY,reg,final,2026-08-05
M21-G3,7,206,CGY,reg,final,2026-08-05
M16-G1,7,EVT,KLN,reg,final,2026-08-06
M16-G2,7,EVT,KLN,reg,final,2026-08-06
M16-G3,7,EVT,KLN,reg,final,2026-08-06
M19-G1,7,VAN,EVT,reg,final,2026-08-07
M19-G2,7,VAN,EVT,reg,final,2026-08-07
M19-G3,7,VAN,EVT,reg,final,2026-08-07
M20-G1,7,KLN,VIC,reg,final,2026-08-10
M20-G2,7,KLN,VIC,reg,final,2026-08-10
M20-G3,7,KLN,VIC,reg,final,2026-08-10
M23-G1,8,EVT,206,sf,final,2026-08-12
M23-G2,8,EVT,206,sf,final,2026-08-12
M23-G3,8,EVT,206,sf,final,2026-08-12
M23-G4,8,EVT,206,sf,final,2026-08-12
M23-G5,8,EVT,206,sf,Scheduled,
M22-G1,8,CGY,KLN,sf,Scheduled,
M22-G2,8,CGY,KLN,sf,Scheduled,
M22-G3,8,CGY,KLN,sf,Scheduled,
M22-G4,8,CGY,KLN,sf,Scheduled,
M22-G5,8,CGY,KLN,sf,Scheduled,
M24-G1,9,TBD,TBD,f,Scheduled,
M24-G2,9,TBD,TBD,f,Scheduled,
M24-G3,9,TBD,TBD,f,Scheduled,
M24-G4,9,TBD,TBD,f,Scheduled,
M24-G5,9,TBD,TBD,f,Scheduled,
